Timestamp,detection_info
0.0,"{'class': tensor(0.), 'confidence': tensor(0.56239), 'bbox': (tensor(154.63908), tensor(201.57202), tensor(194.37906), tensor(255.36797))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.54451), 'bbox': (tensor(154.28583), tensor(203.41451), tensor(195.26436), tensor(256.95999))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.56980), 'bbox': (tensor(154.38567), tensor(204.70544), tensor(194.92244), tensor(258.16321))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.49879), 'bbox': (tensor(153.94638), tensor(204.67400), tensor(193.92844), tensor(257.54880))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.52879), 'bbox': (tensor(153.43126), tensor(204.84628), tensor(194.66222), tensor(256.97858))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.38165), 'bbox': (tensor(154.00612), tensor(203.89699), tensor(194.14381), tensor(255.30559))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.30595), 'bbox': (tensor(153.38800), tensor(202.84389), tensor(193.15941), tensor(254.54765))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.35780), 'bbox': (tensor(150.40781), tensor(191.58127), tensor(200.36215), tensor(251.64284))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.30186), 'bbox': (tensor(149.52745), tensor(185.53255), tensor(199.49156), tensor(253.50452))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.40312), 'bbox': (tensor(148.91545), tensor(178.85594), tensor(197.55243), tensor(247.65338))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.58905), 'bbox': (tensor(148.53432), tensor(175.95570), tensor(196.72128), tensor(246.08762))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.43063), 'bbox': (tensor(144.67209), tensor(177.81334), tensor(197.65526), tensor(247.17612))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.53153), 'bbox': (tensor(142.97923), tensor(178.99738), tensor(197.73451), tensor(247.27162))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.54491), 'bbox': (tensor(142.82838), tensor(175.66977), tensor(197.16966), tensor(247.28995))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.61782), 'bbox': (tensor(145.52629), tensor(174.71912), tensor(196.76210), tensor(247.71748))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.47413), 'bbox': (tensor(148.34009), tensor(174.12357), tensor(199.16235), tensor(251.00008))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.30307), 'bbox': (tensor(180.96004), tensor(266.78210), tensor(210.34691), tensor(317.07709))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.36485), 'bbox': (tensor(240.15417), tensor(235.93156), tensor(275.03143), tensor(299.94446))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.41386), 'bbox': (tensor(240.37804), tensor(237.68059), tensor(276.21890), tensor(300.12561))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.39634), 'bbox': (tensor(241.00269), tensor(238.01636), tensor(276.30466), tensor(299.83212))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.34195), 'bbox': (tensor(242.30367), tensor(240.48010), tensor(274.99277), tensor(299.69724))}"
0.0,"{'class': tensor(0.), 'confidence': tensor(0.38734), 'bbox': (tensor(168.06668), tensor(281.09348), tensor(196.48485), tensor(332.64636))}"
